기간	컬럼1	컬럼2	합계	합계	합계	자영업주 및 무급가족	자영업주 및 무급가족	상용근로자	상용근로자	임시 및 일용근로자	임시 및 일용근로자	기타 종사자	기타 종사자
기간	컬럼1	컬럼2	사업체수	총종사자수	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자	소계	여성종사자
2015	은평구	대조동	2,522	8,130	4,546	2,835	1,396	3,609	2,060	1,430	906	256	184
2015	은평구	응암1동	1,692	7,550	3,759	1,722	767	3,672	2,008	1,828	735	328	249
2015	은평구	응암2동	684	2,065	1,095	760	325	997	628	283	132	25	10
2015	은평구	신사1동	1,249	3,870	1,861	1,333	552	1,728	907	650	270	159	132
2015	은평구	신사2동	1,599	3,330	1,111	1,598	308	1,522	694	190	94	20	15
2015	은평구	증산동	1,146	4,256	1,722	1,185	470	2,406	879	498	285	167	88
2015	은평구	수색동	735	2,770	989	784	331	1,799	557	166	92	21	9
2015	은평구	진관동	1,256	6,463	3,212	1,258	575	4,327	2,054	663	444	215	139
2015	은평구	불광2동	1,322	4,235	2,385	1,459	690	1,979	1,142	468	294	329	259
2015	은평구	응암3동	1,771	4,834	2,598	2,083	929	1,774	1,073	783	470	194	126
2015	은평구	역촌동	2,521	8,037	3,955	2,660	1,109	3,548	1,976	1,493	627	336	243
2015	서대문구	소계	19,612	111,615	55,417	19,922	8,552	70,465	35,250	16,006	8,598	5,222	3,017
2015	서대문구	천연동	902	2,826	1,499	958	458	1,522	820	304	193	42	28
2015	서대문구	홍제1동	1,088	4,442	2,275	1,094	486	1,945	1,086	964	341	439	362
2015	서대문구	홍제3동	1,249	4,073	2,251	1,402	652	1,929	1,099	631	421	111	79
2015	서대문구	홍제2동	568	1,712	866	565	279	847	387	256	170	44	30
2015	서대문구	홍은1동	954	2,325	1,165	1,023	439	1,072	595	190	113	40	18
2015	서대문구	홍은2동	1,132	5,819	2,633	1,234	491	3,530	1,564	933	511	122	67
2015	서대문구	남가좌1동	676	1,535	917	780	417	568	366	171	125	16	9
2015	서대문구	남가좌2동	1,445	4,170	2,083	1,661	723	2,006	1,046	389	236	114	78
2015	서대문구	북가좌1동	631	2,911	1,126	611	206	1,656	702	418	183	226	35
2015	서대문구	북가좌2동	2,349	6,899	3,078	2,541	787	2,522	1,133	1,580	1,018	256	140
2015	서대문구	충현동	1,822	24,280	9,647	1,337	587	18,554	6,967	1,834	746	2,555	1,347
2015	서대문구	북아현동	750	2,023	996	858	354	767	387	286	170	112	85
2015	서대문구	신촌동	3,747	37,178	21,946	3,606	1,723	26,498	15,847	6,229	3,772	845	604
2015	서대문구	연희동	2,299	11,422	4,935	2,252	950	7,049	3,251	1,821	599	300	135
2015	마포구	소계	36,504	252,534	110,581	30,456	12,855	175,713	74,633	33,117	16,690	13,248	6,403
2015	마포구	용강동	2,653	19,599	7,396	1,718	756	14,495	5,453	2,457	710	929	477
2015	마포구	대흥동	1,635	11,034	5,741	1,517	658	6,343	3,116	1,789	920	1,385	1,047
2015	마포구	염리동	710	6,603	2,837	691	324	5,396	2,237	414	224	102	52
2015	마포구	신수동	1,171	5,355	2,411	1,059	394	3,656	1,704	424	248	216	65
2015	마포구	서교동	9,736	60,674	29,805	7,679	3,188	37,703	18,004	12,204	6,669	3,088	1,944
2015	마포구	합정동	2,120	14,565	5,450	1,649	657	8,506	3,502	1,594	484	2,816	807
2015	마포구	망원1동	1,728	4,751	1,962	1,837	651	2,008	968	739	255	167	88
2015	마포구	망원2동	1,368	5,079	2,036	1,445	626	2,250	1,002	804	368	580	40
2015	마포구	연남동	1,406	5,874	2,730	1,265	529	3,437	1,678	1,030	444	142	79
2015	마포구	성산1동	1,522	11,416	3,844	1,133	404	8,944	2,810	1,111	556	228	74
2015	마포구	성산2동	1,814	11,362	5,858	1,731	737	8,083	4,323	1,119	602	429	196
2015	마포구	상암동	2,242	35,783	12,635	1,504	706	31,691	10,406	1,938	1,181	650	342
2015	마포구	도화동	2,044	16,220	7,794	1,555	697	12,306	5,770	1,722	932	637	395
2015	마포구	서강동	1,735	11,355	5,774	1,519	628	7,784	3,882	1,819	1,099	233	165
2015	마포구	공덕동	2,726	19,681	8,930	2,573	1,146	13,402	6,090	2,368	1,200	1,338	494
2015	마포구	아현동	1,894	13,183	5,378	1,581	754	9,709	3,688	1,585	798	308	138
2015	양천구	소계	26,297	119,443	55,589	26,294	10,943	66,021	30,679	19,468	9,219	7,660	4,748
2015	양천구	목1동	2,961	22,234	10,641	2,291	1,138	14,735	6,471	3,582	1,972	1,626	1,060
2015	양천구	목2동	1,158	4,010	1,851	1,225	536	2,071	975	524	225	190	115
2015	양천구	목3동	1,213	4,791	2,187	1,286	609	2,102	1,176	1,262	304	141	98
2015	양천구	목4동	1,328	4,472	2,278	1,506	739	1,670	920	1,123	454	173	165
2015	양천구	신월1동	1,747	4,893	2,194	1,996	830	2,079	907	633	313	185	144
2015	양천구	신월2동	1,238	3,876	1,720	1,229	424	2,018	975	445	247	184	74
2015	양천구	신월3동	974	4,147	1,653	999	368	2,390	1,002	503	214	255	69
2015	양천구	신월4동	1,134	4,114	1,548	1,202	469	1,836	635	917	322	159	122
2015	양천구	신월5동	998	4,251	1,860	1,048	409	2,479	1,009	611	348	113	94
2015	양천구	신월6동	1,575	3,523	1,177	1,633	312	1,413	634	322	154	155	77
2015	양천구	신월7동	1,375	5,709	1,989	1,456	556	3,529	1,062	545	291	179	80
2015	양천구	신정1동	1,116	5,010	2,763	1,128	558	2,747	1,343	664	433	471	429
2015	양천구	신정2동	1,088	3,580	1,926	1,148	521	1,710	971	588	365	134	69
2015	양천구	신정3동	2,013	9,146	3,976	1,992	788	4,965	2,242	1,744	606	445	340
2015	양천구	신정6동	738	6,238	2,879	679	315	3,895	1,868	1,086	369	578	327
2015	양천구	신정7동	984	4,436	1,999	994	382	2,683	1,098	443	270	316	249
2015	양천구	목5동	1,576	10,422	6,121	1,452	724	6,959	4,196	1,589	961	422	240
2015	양천구	신정4동	3,081	14,591	6,827	3,030	1,265	6,740	3,195	2,887	1,371	1,934	996
2015	강서구	소계	33,273	199,289	89,841	31,001	12,713	136,099	59,731	21,697	11,146	10,492	6,251
2015	강서구	염창동	2,190	16,307	6,284	1,726	757	11,959	4,418	1,741	650	881	459
2015	강서구	등촌1동	1,880	15,416	6,077	1,464	619	11,842	4,469	1,690	797	420	192
2015	강서구	등촌2동	727	3,485	1,616	698	288	2,315	1,030	350	197	122	101
2015	강서구	등촌3동	2,425	20,629	10,622	1,907	818	14,797	7,531	2,665	1,705	1,260	568
2015	강서구	화곡본동	1,335	4,070	2,337	1,510	678	1,968	1,337	445	220	147	102
2015	강서구	화곡2동	821	2,432	1,198	856	357	1,227	644	265	135	84	62
2015	강서구	화곡3동	1,174	4,914	2,557	1,219	523	1,765	976	1,053	320	877	738
2015	강서구	화곡4동	1,401	3,745	1,925	1,577	712	1,689	918	384	231	95	64
2015	강서구	화곡6동	1,818	11,841	5,868	1,695	728	6,688	2,723	1,848	983	1,610	1,434
2015	강서구	화곡8동	1,167	3,380	1,823	1,302	569	1,467	809	426	280	185	165
2015	강서구	가양1동	1,458	11,655	3,841	1,094	423	8,637	2,821	808	363	1,116	234
2015	강서구	가양2동	652	3,460	1,764	548	217	2,429	1,222	373	256	110	69
2015	강서구	가양3동	888	6,895	2,722	549	171	5,674	2,167	634	358	38	26
2015	강서구	발산1동	2,288	11,795	5,281	2,165	924	7,932	3,358	1,060	586	638	413
2015	강서구	공항동	1,885	35,952	16,393	1,671	673	32,257	14,748	1,720	885	304	87
2015	강서구	방화1동	3,549	10,126	4,479	3,573	1,043	5,020	2,560	985	558	548	318
2015	강서구	방화2동	2,003	11,834	4,756	1,742	768	8,106	2,925	1,673	924	313	139
2015	강서구	방화3동	913	4,577	1,919	800	287	2,986	1,146	524	365	267	121
2015	강서구	화곡1동	3,076	10,087	4,796	3,291	1,421	3,894	2,117	2,115	815	787	443
2015	강서구	우장산동	1,623	6,689	3,583	1,614	737	3,447	1,812	938	518	690	516
2015	구로구	소계	37,445	210,506	87,426	32,148	11,717	146,283	58,461	23,276	11,901	8,799	5,347
2015	구로구	신도림동	2,699	14,948	6,959	2,367	827	9,708	4,581	1,548	842	1,325	709
2015	구로구	구로1동	722	3,135	1,531	699	286	1,649	680	749	536	38	29
2015	구로구	구로3동	6,797	82,378	30,763	3,167	1,161	69,720	23,962	7,116	4,334	2,375	1,306
2015	구로구	구로4동	1,996	5,334	2,801	2,154	1,106	2,623	1,354	452	291	105	50
