기간	자치구	동	사업체수	총종사자수	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수	소계	여성종사자수
2014	구로구	구로3동	6,193	79,594	28,807	2,781	1,045	72,164	25,390	3,020	1,505	1,629	867
2014	구로구	구로4동	2,040	5,153	2,781	2,300	1,154	2,377	1,292	302	185	174	150
2014	구로구	구로5동	4,591	24,061	11,193	3,856	1,194	16,015	7,508	2,873	1,552	1,317	939
2014	구로구	고척1동	2,517	8,239	3,331	2,457	769	4,940	2,061	701	381	141	120
2014	구로구	고척2동	1,433	4,058	2,054	1,504	630	2,017	1,139	434	187	103	98
2014	구로구	개봉2동	1,151	2,958	1,586	1,234	517	1,283	753	364	255	77	61
2014	구로구	개봉3동	991	3,061	1,654	1,081	462	1,652	946	276	200	52	46
2014	구로구	오류1동	1,128	4,665	2,436	1,141	491	3,037	1,641	333	212	154	92
2014	구로구	오류2동	1,570	7,549	3,052	1,564	584	4,430	1,904	1,033	375	522	189
2014	구로구	수궁동	1,172	5,447	1,980	1,157	438	3,343	1,110	913	415	34	17
2014	구로구	가리봉동	1,043	2,766	1,560	1,213	590	977	591	422	236	154	143
2014	구로구	구로2동	7,744	28,364	11,607	6,620	1,933	19,082	8,101	2,083	1,229	579	344
2014	구로구	개봉1동	1,771	5,243	2,616	1,729	684	2,827	1,513	372	232	315	187
2014	금천구	소계	29,557	214,128	77,671	22,402	8,271	166,585	56,863	19,359	9,095	5,782	3,442
