날짜,구,검색지수
201903,광진구,0.12
201903,구로구,2.88
201903,금천구,0.17
201903,노원구,2.73
201903,도봉구,0.21
201903,동대문구,3.79
201903,동작구,0.57
201903,마포구,7.89
201903,서대문구,2.23
201903,서초구,4.51
201903,성동구,0.06
201903,성북구,0.26
201903,송파구,6.27
201903,양천구,1.65
201903,영등포구,4.54
201903,용산구,11.83
201903,은평구,0.83
201903,종로구,1.58
201903,중구,1.06
201903,중랑구,0.05
201904,강남구,16.47
201904,강동구,2.31
201904,강북구,1.61
201904,강서구,0.70
201904,관악구,0.80
201904,광진구,0.11
201904,구로구,3.00
201904,금천구,0.15
201904,노원구,2.66
201904,도봉구,0.12
201904,동대문구,3.81
201904,동작구,0.54
201904,마포구,7.72
201904,서대문구,2.16
201904,서초구,4.59
201904,성동구,0.06
201904,성북구,0.21
201904,송파구,5.51
201904,양천구,1.90
201904,영등포구,4.55
201904,용산구,10.73
201904,은평구,0.63
201904,종로구,1.41
201904,중구,1.12
201904,중랑구,0.06
201905,강남구,18.19
201905,강동구,2.27
201905,강북구,2.11
201905,강서구,0.77
201905,관악구,0.83
201905,광진구,0.04
201905,구로구,3.13
201905,금천구,0.18
201905,노원구,2.83
201905,도봉구,0.13
201905,동대문구,3.52
201905,동작구,0.52
201905,마포구,8.39
201905,서대문구,2.24
201905,서초구,4.40
201905,성동구,0.03
201905,성북구,0.35
201905,송파구,4.52
201905,양천구,1.73
201905,영등포구,4.86
201905,용산구,11.20
201905,은평구,0.75
201905,종로구,1.44
201905,중구,1.13
201905,중랑구,0.03
201906,강남구,20.33
201906,강동구,2.42
201906,강북구,1.94
201906,강서구,0.84
201906,관악구,0.93
201906,광진구,0.12
201906,구로구,2.95
201906,금천구,0.20
201906,노원구,2.78
201906,도봉구,0.25
201906,동대문구,3.84
201906,동작구,0.52
201906,마포구,9.17
201906,서대문구,2.69
201906,서초구,3.62
201906,성동구,0.02
201906,성북구,0.33
201906,송파구,4.46
201906,양천구,1.90
201906,영등포구,5.36
201906,용산구,12.03
201906,은평구,0.75
201906,종로구,1.61
201906,중구,1.11
201906,중랑구,0.06
201907,강남구,19.79
201907,강동구,2.47
201907,강북구,2.04
201907,강서구,0.97
201907,관악구,1.04
201907,광진구,0.05
201907,구로구,3.34
201907,금천구,0.18
201907,노원구,3.06
201907,도봉구,0.23
201907,동대문구,3.61
201907,동작구,0.62
201907,마포구,9.98
201907,서대문구,2.52
201907,서초구,3.81
201907,성동구,0.07
201907,성북구,0.41
201907,송파구,4.81
201907,양천구,1.81
201907,영등포구,5.11
201907,용산구,12.42
201907,은평구,0.67
201907,종로구,1.71
201907,중구,1.17
201907,중랑구,0.04
201908,강남구,21.06
201908,강동구,2.74
201908,강북구,2.23
201908,강서구,0.99
201908,관악구,1.00
201908,광진구,0.09
201908,구로구,3.15
201908,금천구,0.27
201908,노원구,3.35
201908,도봉구,0.34
201908,동대문구,4.19
201908,동작구,0.52
201908,마포구,10.18
201908,서대문구,2.66
201908,서초구,3.62
201908,성동구,0.08
201908,성북구,0.28
201908,송파구,5.86
201908,양천구,3.91
201908,영등포구,6.00
201908,용산구,12.85
201908,은평구,0.79
201908,종로구,1.86
201908,중구,1.31
201908,중랑구,0.05
201909,강남구,19.53
201909,강동구,2.91
201909,강북구,2.28
201909,강서구,0.95
201909,관악구,1.00
201909,광진구,0.05
201909,구로구,3.35
201909,금천구,0.33
201909,노원구,3.32
201909,도봉구,0.25
201909,동대문구,3.84
201909,동작구,0.50
201909,마포구,10.21
201909,서대문구,2.86
201909,서초구,3.45
201909,성동구,0.12
201909,성북구,0.40
201909,송파구,5.74
201909,양천구,2.17
201909,영등포구,6.10
201909,용산구,15.04
201909,은평구,0.94
201909,종로구,1.61
201909,중구,1.36
201909,중랑구,0.04
